id_emp,nom_emp,dir_emp,tel_emp,cel_emp,fax_emp,mail_emp,web_emp,conta_emp,tip_emp,ant_emp,ser_emp,cont_emp,com_emp
1,"BOLIVIAN TRADE",,56996425199,,,cristianpenagoycolea@gmail.com,,"Christian Peña ",TRADING,"20 AÑOS","PERITAJE / TRAINING / MATCHMAKING / ESTUDIO MERCADO / CERRAR EL CONTRATO/ LOGISTA INSUMOS / LICITACIONES PUBLICAS (REGISTRO EMPRESA) ","Que las empresas esten dispuestas a enviar muestras y cumplir con los plazos establecidos y determinados en el contrato.","PERITAJE - TRAINING / MATCHMAKING / ESTUDIO MERCADO / CERRAR EL CONTRATO 5 % - 20% / LOGISTICA INSUMOS / LICITACION PUBLICAS (REGISTRO EMPRESA) "
2,"ANDEAN VALLEY CORP","Av. Panamericana Nro. 1959,  Rio Seco - El Alto - Bolivia","+591-2 - 2863058 ",,"+591-2 - 2862853",jfernandez@andeanvalley.com,www.andeanvalley.com,"Javier Fernandez","RED COMERCIAL","15 AÑOS","JOINT VENTURE","Se establecen en el acuerdo de Joint Venture.","Depende de la magnitud del negocio que se genere y previo acuerdo entre partes."
3,"ISHIMA SRL","Avenida Alemania.  Calle Exaltación No. 3610.","+591 - 3 - 3442022",,"+591 - 3 - 3442023",shima@ishima01.com,www.ishima01.com,"Masakatsu Shimabukuro","CONSULTORA EN COMERCIO - JETRO","22 AÑOS","ESTUDIO DE MERCADO AVANZADO - 5 A 10 CLIENTES POR PRODUCTO / CIERRE DE CONTRATO","MATCHMAKING - 3 MESES / CERRAR CONTRATOS 6 MESES - 1 AÑO","MATCHMAKING USD 12,500.00  / CERRAR CONTRATO USD 30 - 40 HORA + SUCCESS FEE 15-20%"
4,"NANBEI BRIDGE JAPAN","Bolivia, La Paz, Achumani, Calle 22 Esq. Ramón Arias #100","+591 2712410","+591 65161866",,antonioverabo@yahoo.es,www.nanbeibridgejapan.com,"Antonio Vera",BROKER,"6 AÑOS","SERVICIO DE INTERMEDIARIOS INTERNACIONALES (BROKERS) Y SERVICIO DE REPRESENTACIÓN COMERCIAL. FERIAS / JOINT VENTURE / MUESTRAS GRATIS.","Plan de Marketing Internacional definido.  Firma del contrato.  Dos años para la introducción del producto.","Depende del servicio requerido y de las condiciones negociadas en el contrato.  Se analiza cada caso y se presenta una propuesta específica."
5,"ECO TERRA GMBH","Am Quarzitbruch 7, 65817 Eppstein, Germany 
","+49 (0) 6198 57736-102",,"+49 (0) 6198 57736-108",c.bergerem@eco-terra.de,"www.eco-terra.de ","Carmiña Alvarado",FAIRTRADE,"18 AÑOS","IMPORTACIÓN / MATCHING /CIERRE DE CONTRATO/ JOINT VENTURE","Se considera fundamental que la empresa contraparte también sea socialmente responsable.","A definir en el contrato."
6,"FIT CONSULTING GROUP","6433 Haughton Ln Orlando FL 32835 
","+1 (703) 901-3230",,,psaldias@fitconsultinggroup.com,http://fitconsultinggroup.com/,"Andrés Saldias","CONSULTORA EN COMERCIO","22 AÑOS","MATCHMAKING - 3 MESES / CERRAR CONTRATOS 6 MESES - 1 AÑO, ESTUDIO DE MERCADO AVANZADO - 5 A 10 CLIENTES POR PRODUCTO / CIERRE DE CONTRATO","Cumplimiento de las condiciones pactadas en el contrato.","MATCHMAKING USD 12,500.00  / CERRAR CONTRATO USD 30 - 40 HORA + SUCCESS FEE 15-20%"
7,"PACHAMAMA PRODUCTS S.R.L.","Soler 5702, 3ro “E” – CP C1425BYJ,  Ciudad Autónoma de Buenos Aires– Argentina","+54.11  4775 7649",,,info@pachamamaproducts.com,www.pachamamaproducts.com,Facundo,"IMPORTADOR Y COMERCIALIZADOR",,IMPORTACIÓN,"Calidad al mejor precio.","Depende del precio del mercado."
8,"DELPHI ORGANIC","Willy-Brandt-Weg 13,  48155 Mónster, Deutschland","+49 (0)251 28 05 6-12",,,pcurran@delphiorganic.com,www.delphiorganic.com,"Patrick Curran ",BIO,,"IMPORTACIÓN Y COMERCIALIZACIÓN DE PRODUCTOS ORGÁNICOS CERTIFICADOS","La mayor prioridad de la empresa es garantizar la alta calidad de los productos.","Depende de la calidad y cantidad del producto, además de las condiciones pactadas en el contrato."
9,"AVAFINA  COMMODITIES","107-3833 Henning Drive,  Burnaby, BC V5C 6N5, Canadá ",+1-604-292-0022,,,dennis@avafina.com,www.avafina.com,Dennis,"IMPORTADOR ","18 AÑOS",IMPORTACIÓN,"Calidad al mejor precio.","El precio se lo establece como resultado de la negociación con los proveedores."
10,"TOOTSI IMPEX","8800 Blvd. Henri-Bourassa West, Saint-Laurent,  H4S 1P4, Quebec, Canadá",+1-514-381-9790,,+1-514-387-9314,purchasing@tootsiimpex.com,www.tootsiimpex.com,"Purchasing Dep",IMPORTADOR/EXPORTADOR,"30 AÑOS ",IMPORTACIÓN,"Control de calidad de los productos, los cuales deben ser certificados.","Se considera el mejor precio de los proveedores."
11,"TABATA CO & LTD","Uehonmachi 8-8-12 Osaka",+81-6-6271-3907,,+81-6-6262-7097,export1@tabata-russ.co.jp,"
www.tabata-web.com","Soichiro Tabata","MAYORISTA Y DISTRIBUIDOR","18 AÑOS","IMPORTACION / MATCHING / JOINT VENTURE","Cumplir condiciones de calidad y precio.","MATCHMAKING / CERRAR CONTRATO USD 5000 MES + 1000 POR CONTRATO CERRADO / JOINT VENTURE"
12,"COPACABANA TOTALCOMEX","Calle Ricardo Mujía No. 1159 (Sopocachi)",,"+591 720 00825",,alvaro.vasquez@totalcomex.com,www.totalcomex.blogspot.com,"Luis Alvaro Vazquez","REPRESENTANTE COMERCIAL","20 AÑOS","MATCHING/CIERRE DE CONTRATOS","Prefiere trabajar como representate comercial.   En cuanto a las condiciones se debe aclarar en el contrato aspectos como: Tiempo de trabajo, realización (o no) de viajes, cantidad de personal involucrado, seguimiento al proceso de adaptación de ciertos productos y existencia (o no) de apoyo al trabajo por parte de alguna agencia estatal.","MATCHMAKING / CERRAR EL CONTRATO USD 25 HORA + 10 % de contrato "
13,"PRECIS1 SRL",,"+591 - 782 48419",,,jorge.alberto.cerda@precis1.com,,"Jorge Alberto Cerda Bustillos",BROKER,"15 AÑOS","MATCHING/CIERRE DE CONTRATOS/SERVICIO DE CONSOLIDACIÓN DE QUINUA PARA EXPORTAR","Su forma de trabajo  es bajo comisión sobre el monto facturado o del contrato firmado entre vendedor y comprador, el porcentaje de la comisión varia del 2 al 7% en función del producto a exportar, el volumen negociado y la dificultad del mercado de exportación.","MATCHMAKING / CERRAR EL CONTRATO 2% (Arriba de USD 500 MIL) 5% (100 - 500 MIL); SERVICIO DE CONSOLIDACION SOLO PARA ENVIOS DE EXPORTACION DE QUINUA MAYORES A UN MILLON DE DOLARES Y EL COSTO ES DEL 4% DEL MONTO TOTAL DEL PRECIO EXW."
14,"BUSINESS SOLUTIONS",,"+51 953546070",,,,http://www.bsol.cl,"Marcelo Barron",BROKER,"14 AÑOS","MATCHING / CIERRE DE CONTRATOS","El trabajo se realiza en estrecha relacion con los clientes, para lograr un entendimiento adecuado de las variables que influyen en el negocio y de las posibilidades futuras, con tal de generar soluciones reales, que contemplen el conocimiento actual y agreguen valor a través de un análisis lógico e integral.","MATCHMAKING / ACELERACION (DESARROLLO DE NEGOCIOS) USD 5000.00"
15,"ATLANTIC BEARING",,"+1 305.592.4404",,,sales@atlantic-bearing.com,http://www.atlantic-bearing.com/,"Luis Labarta",REPRESENTANTE,"10 AÑOS","MATCHING / CIERRE DE CONTRATOS","Depende del requerimiento, analizamos calidad y cumplimiento en los tiempos de entrega.","MATCHMAKING / CERRAR CONTRATOS USD 30 POR HR y 10 - 15 % del contrato"
16,"QUINOA FOODS","Av. Tiwanacu # 100, Esq. Av. Alamos, Zona Tilata, El Alto, La Paz, Bolivia","+(591 2) 288 2920",,,,www.quinoafoods.com,"Juan Pablo Seleme",DISTRIBUIDOR,"14 AÑOS","JOINT VENTURE","Se establecen en el acuerdo de Joint Venture.","Se establece en el acuerdo de joint venture y depende de cada caso."
17,"RADU GHITESCU",,40213147936,"40 0721349773",,raghitescu@yahoo.com,,"Radu Ghitescu","AGENTE COMERCIAL","30 AÑOS","PROSPECCION DEL MERCADO/ MATCHING / ESTUDIO DE MERCADO / PROMOCION / CIERRE DE VENTAS","ENVIO DE LA GAMA COMPLETA DE PRODUCTOS QUE DESEA VENDER ADJUNTANDO LISTA DE PRECIOS Y NORMAS INTERNACIONALES QUE CUMPLEN COMO LA ISO.  ALQUILER DE OFICINA Y VEHICULO PARA VISITAS A EMPRESAS","PROSPECCION DE MERCADO 2500 EUROS - 3 SEMANAS.  SUELDO MENSUAL DE 2000 EUROS."
18,COMPRASERVICE,,1-240-409-3198,"591 - 61154681",,jasonandrade@compraservice.com,www.compraservice.com,"Jason Andrade","BROKER Y AGENTE COMERCIAL","8 AÑOS","GESTION DE VENTAS A NIVEL INTERNACIONAL. GESTION DE LICENCIAS PARA EL INGRESO DE PRODUCTOS A ESTADOS UNIDOS.  GESTION DE DOCUMENTACION Y PROCESOS ADUANEROS.  SERVICIO DE COMPRAS INTERNACIONALES.","QUE CUMPLAN CON EL CONTRATO FIRMADO, NO INCREMENTEN PRECIOS Y CUMPLAN CON EL VOLUMEN COMPROMETIDO Y LA CALIDAD. EL PRECIO ACORDADO NO SE CAMBIA HASTA FINALIZADO EL CONTRATO.","LA COMISION DEPENDE DEL PRODUCTO, OSCILA ENTRE 14 Y 20 POR CIENTO DE LA VENTA."
19,APROVESA,"Urbanización Dos Mares Edif. Plaza Dos Mares 2 Local 3 P.O. BOX 6-6434 ",+011-507-236-9139,,"+011-507-260-2711 ",,,"Gian Andre Cavalieri","MAYORISTA Y REPRESENTANTE","22 AÑOS","MATCHMAKING / CIERRE DE CONTRATOS","Depende de la negociación realizada.","MATCHMAKING / CERRAR CONTRATOS 5 - 10 % del contrato"
20,"HODGSON MILL INC","Hodgson Mill, Inc.,1100 Stevens Ave., Effingham, IL 62401",1+800-525-0177,,+1-217-347-0198,tfreeman@hodgsonmill.com,www.hodgsonmill.com,"Tom Freeman","MAYORISTA Y DISTRIBUIDOR","179 AÑOS",IMPORTACION,"Cumplir con nuestros estándares de calidad y sustentabilidad.","PRECIO DE MERCADO "
21,"THE USA BOUQUET COMPANY","1500 NW 95 Ave.  Miami, FL 33172","+1-786-437-6500
",,,procurement@usabq.com,www.usabq.com,"Sara Laguna","MAYORISTA Y DISTRIBUIDOR","15 AÑOS","IMPORTACION ","Calidad al mejor precio.","PRECIO DE MERCADO"
22,"VIGO IMPORTING COMPANY","P.O. Box 15584,  Tampa, FL 33684","+1-(800) 282-4130",,,tony@vigo-alessi.com,www.vigo-alessi.com,"Antonino Alessi",IMPORTADOR,"69 AÑOS","IMPORTACION ","Calidad al mejor precio.","PRECIO DE MERCADO"
