id_sec_emp,id_emp,id_sec
1,1,1
2,1,2
3,2,3
4,3,3
5,3,2
6,3,4
7,3,5
8,4,3
9,4,6
10,4,5
11,5,3
12,6,3
13,6,2
14,7,3
15,8,3
16,9,3
17,10,3
18,11,5
19,11,4
20,12,3
21,13,3
22,14,3
23,14,2
24,14,7
25,15,8
26,16,3
27,17,3
28,17,2
29,17,1
30,17,7
31,17,9
32,18,3
33,18,7
34,19,1
35,20,3
36,21,5
37,21,10
38,22,3
39,23,3
40,24,3
41,25,3
42,25,6
43,26,3
44,26,6
45,27,3
46,28,3
47,29,3
48,30,3
49,30,6
50,31,8
51,32,3
52,32,11
53,33,4
54,33,7
55,34,11
56,34,3
57,35,3
58,36,3
59,36,6
60,37,3
61,38,3
62,39,3
63,40,3
64,41,3
65,42,3
66,43,3
67,44,3
68,45,3
69,46,3
70,47,3
71,48,3
72,49,3
73,49,6
74,50,9
75,51,9
76,52,3
77,52,2
78,53,9
79,53,3
