id_pais,pais
1,ABJASIA
2,AFGANISTAN
3,ALBANIA
4,ALEMANIA
5,ANDORRA
6,ANGOLA
7,"ANTIGUA Y BARBUDA"
8,"ARABIA SAUDITA"
9,ARGELIA
10,ARGENTINA
11,ARMENIA
12,AUSTRALIA
13,AUSTRIA
14,AZERBAIYAN
15,BELGICA
16,BAHAMAS
17,BANGLADES
18,BAREIN
19,BARBADOS
20,BELICE
21,BENIN
22,BIELORRUSIA
23,BIRMANIA
24,BOLIVIA
25,BOSNIA-HERZEGOVINA
26,BOTSUANA
27,BRASIL
28,BRUNEI
29,BULGARIA
30,"BURKINA FASO"
31,BURUNDI
32,BUTAN
33,"CABO VERDE"
34,CAMBOYA
35,CAMERUN
36,CANADA
37,CATAR
38,CHAD
39,CHILE
40,CHINA
41,CHIPRE
42,COLOMBIA
43,COMORAS
44,CONGO
45,"COREA DEL NORTE"
46,"COREA DEL SUR"
47,"COSTA DE MARFIL"
48,"COSTA RICA"
49,CROACIA
50,CUBA
51,DINAMARCA
52,DOMINICA
53,ECUADOR
54,EGIPTO
55,"EL SALVADOR"
56,"EMIRATOS ARABES UNIDOS"
57,ERITREA
58,ESLOVAQUIA
59,EUROPA
60,ESPAÑA
61,"ESTADOS UNIDOS"
62,EGIPTO
63,ESTONIA
64,ETIOPIA
65,FILIPINAS
66,FINLANDIA
67,FIYI
68,FRANCIA
69,GABON
70,GAMBIA
71,GEORGIA
72,GHANA
73,GRANADA
74,GRECIA
75,GUATEMALA
76,GUINEA
77,GUINEA-BISAU
78,"GUINEA ECUATORIAL"
79,GUYANA
80,HAITI
81,HOLANDA
82,HONDURAS
83,HUNGRIA
84,INDIA
85,INDONESIA
86,IRAN
87,IRAK
88,INGLATERRA
89,IRLANDA
90,ISLANDIA
91,"ISLAS MARSHALL"
92,"ISLAS SALOMON"
93,ISRAEL
94,ITALIA
95,JAMAICA
96,JAPON
97,JORDANIA
98,KAZAJISTAN
99,KENIA
100,KIRGUISTAN
101,KIRIBATI
102,KOSOVO
103,KUWAIT
104,LÍBANO
105,LAOS
106,LESOTO
107,LETONIA
108,LIBERIA
109,LIBIA
110,LIECHTENSTEIN
111,LITUANIA
112,LUXEMBURGO
113,MEXICO
114,MACEDONIA
115,MADAGASCAR
116,MALI
117,MALASIA
118,MALAUI
119,MALDIVAS
120,MALTA
121,MARRUECOS
122,MAURICIO
123,MAURITANIA
124,MICRONESIA
125,MOLDAVIA
126,MONACO
127,MONGOLIA
128,MONTENEGRO
129,MOZAMBIQUE
130,NIGER
131,NAMIBIA
132,NAURU
133,NEPAL
134,NICARAGUA
135,NIGERIA
136,NORUEGA
137,"NUEVA ZELANDA"
138,OMAN
139,"PAISES BAJOS"
140,PAKISTAN
141,PALAOS
142,PANAMA
143,"PAPUA NUEVA GUINEA"
144,PARAGUAY
145,PERÚ
146,POLONIA
147,PORTUGAL
148,"REINO UNIDO"
149,"REPUBLICA CENTROAFRICANA"
150,"REPUBLICA CHECA"
151,"REPUBLICA DEMOCRATICA DEL CONGO"
152,"REPUBLICA DOMINICANA"
153,RUANDA
154,RUMANIA
155,RUSIA
156,SAMOA
157,"SAN CRISTOBAL Y NIEVES"
158,"SAN MARINO"
159,"SAN VICENTE Y LAS GRANADINAS"
160,"SANTA LUCIA"
161,"SANTO TOME Y PRINCIPE"
162,SENEGAL
163,SERBIA
164,SEYCHELLES
165,"SIERRA LEONA"
166,SINGAPUR
167,SIRIA
168,SOMALIA
169,"SRI LANKA"
170,SUAZILANDIA
171,SUDAFRICA
172,SUDAN
173,SUECIA
174,SUIZA
175,SURINAM
176,TUNEZ
177,TAILANDIA
178,TAIWAN
179,TANZANIA
180,TAYIKISTAN
181,"TIMOR ORIENTAL"
182,TOGO
183,TONGA
184,"TRINIDAD Y TOBAGO"
185,TURKMENISTAN
186,TURQUIA
187,TUVALU
188,UCRANIA
189,UGANDA
190,URUGUAY
191,UZBEKISTAN
192,VANUATU
193,VATICANO
194,VENEZUELA
195,VIETNAM
196,YEMEN
197,YIBUTI
198,ZAMBIA
199,ZIMBABUE
