id_pro,dod_nan,nom_pro,des_pro
1,2147483647,"PARQUET DE MADERA","Tablillas y frisos para parqués distinta de la de conífera , sin ensamblar"
2,2147483647,"VENTANAS DE MADERA ","Ventanas, puertas vidriera, y sus marcos y contramarcos de madera"
3,2147483647,"PUERTAS DE MADERA ","Puertas y sus marcos, contramarcos y umbrales, de madera"
4,2147483647,"CAMISAS DE ALGODÓN","Camisas de puntos de algodón  para hombres o niños"
5,2147483647,JEANS,"Pantalones largos, pantalones con peto, pantalones cortos (calzones) y «shorts», de tejidos llamados «mezclilla o denim»"
6,100850,"QUINUA ","Quinoa (Chenopodium quinoa)"
7,2147483647,"SAL DE MESA","Sal de mesa"
8,1701140000,"AZÚCAR ","Los demás azúcares de caña"
9,903000000,MATE,"Yerba mate."
10,801210000,CASTAÑA,"Nueces del Brasil ,con cáscara"
11,90111,CAFÉ,"Café sin descafeinar"
12,1207999910,CHIA,"Semillas de chía"
13,1207409000,SÉSAMO,"Las demás semillas: Sésamo"
14,2147483647,"ABRIGO DE ALPACA","Abrigos, impermeables, chaquetones, capas y artículos similares, de lana o pelo fino"
15,2147483647,"MUEBLES DE MADERA","Los demás muebles de madera"
16,2147483647,"JOYERÍA DE PLATA","Joyería de plata, incluso revestida o chapada de otro metal precioso (plaqué)"
17,603,"FLORES ","Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma."
18,2008910000,PALMITOS,Palmitos
19,2147483647,"CERVEZA DE MALTA.","Cerveza de malta."
20,2147483647,"CARTERAS DE CUERO","Carteras con la superficie exterior de cuero natural o cuero regenerado"
21,2147483647,"JOYERIA DE ORO","Articulos de joyeria de los demás metales preciosos, incluso revestidos o chapados de metal precioso (plaqué)"
22,1008909020,AMARANTO,"Amaranthus hypochondriacus"
23,110620100,"MACA ","Lepidium meyenii"
24,1008909010,"CAÑAHUA ","Chenopodium pallidicaule"
25,200820,"PIÑA ","Fruto  Ananás"
26,2147483647,VINO,"Vino espumoso "
27,2147483647,"BARRAS DE ESTAÑO ","Barras y alambres de estaño aleado, para soldadura"
28,902100000,TÉ,"Té verde (sin fermentar) presentado en envases inmediatos con un contenido inferior o igual a 3 kg"
29,803101000,PLATANOS,"Platanos Frescos"
30,207120000,POLLOS,"Pollos sin trocear, congelados"
