ID,GESTION,CATEGORIA,MES,BIMESTRE,TRIMESTRE,CUATRIMESTRE,SEMESTRE,ADUANA,NANDINA,PARTIDA,SUBPARTIDA,CAPITULO,SECCION,PAIS,AREA,MEDIO,VIA,DEPTO,CUCI,GCE,SECTOR,CODACT,CIIU_SECCION,CIIU,TNT,TNT_GRUPO,TNT_CLASE,KILBRU,KILNET,FINUNI,VALOR
1,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,23,40,5,9,10,33421,321,4,D15,D,2320,31,12,1,21537,21537,21537,9293
2,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,63,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,226770,226770,226770,97856
3,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,105,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,218757,218757,218757,94399
4,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,149,30,5,9,10,33421,321,4,D15,D,2320,31,12,1,17,17,17,8
5,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,211,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,7240,7240,7240,3125
6,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,239,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,15153,15153,15153,6539
7,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,249,32,5,9,10,33421,321,4,D15,D,2320,31,12,1,846376,846376,846376,365228
8,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,586,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,22297,22297,22297,9621
9,1992,1,1,1,1,1,1,0,2716000000,2716,271600,27,5,589,10,11,999,10,3510,322,5,E1,E,4010,34,21,2,0,0,0,9110
10,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,589,10,5,9,10,33421,321,4,D15,D,2320,31,12,1,7305,7305,7305,3152
11,1992,1,1,1,1,1,1,0,2710006000,2710,271000,27,5,999,99,5,9,10,33421,321,4,D15,D,2320,31,12,1,46645,46645,46645,20128
12,1992,1,1,1,1,1,1,0,2203000000,2203,220300,22,4,63,10,9,5,1,1123,122,4,D3,D,1553,13,21,2,13608,13608,13608,5032
13,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,275,40,8,2,1,2875,210,3,C4,C,1320,3,11,1,145000,136300,73398,80908
14,1992,1,1,1,1,1,1,0,0901110000,0901,090111,09,2,23,40,9,3,2,07111,111,1,A2,A,0113,10,21,2,187328,184820,184820,268988
15,1992,1,1,1,1,1,1,0,0901211000,0901,090121,09,2,23,40,9,3,2,0712,122,4,D4,D,1549,10,21,2,51800,51060,51060,70463
16,1992,1,1,1,1,1,1,0,7106911000,7106,710691,71,14,23,40,9,3,2,68113,220,4,D23,D,2720,8,11,1,189,188,173,21149
17,1992,1,1,1,1,1,1,0,7803000000,7803,780300,78,15,23,40,9,3,2,68521,220,4,D21,D,2720,6,11,1,9411,9403,8632,4567
18,1992,1,1,1,1,1,1,0,4202310000,4202,420231,42,8,23,40,5,9,2,83191,620,4,D10,D,1912,15,21,2,20,20,20,970
19,1992,1,1,1,1,1,1,0,4202999000,4202,420299,42,8,23,40,5,9,2,83199,620,4,D10,D,1912,15,21,2,67,67,67,2309
20,1992,1,1,1,1,1,1,0,4203309000,4203,420330,42,8,23,40,5,9,2,84813,620,4,D10,D,1810,15,21,2,11,11,11,510
21,1992,1,1,1,1,1,1,0,6110100000,6110,611010,61,11,23,40,5,9,2,8453,620,4,D9,D,1730,34,21,2,2022,2022,2022,110285
22,1992,1,1,1,1,1,1,0,6114100000,6114,611410,61,11,23,40,5,9,2,84599,620,4,D11,D,1810,34,21,2,17,17,17,1098
23,1992,1,1,1,1,1,1,0,9205900000,9205,920590,92,18,23,40,5,9,2,89823,610,4,D29,D,3692,34,21,2,68,68,68,2309
24,1992,1,1,1,1,1,1,0,0901110000,0901,090111,09,2,23,40,9,3,2,07111,111,1,A2,A,0113,10,21,2,32061,31710,31710,45552
25,1992,1,1,1,1,1,1,0,2611000000,2611,261100,26,5,23,40,9,3,2,28792,210,3,C5,C,1320,4,11,1,19685,18898,13701,80825
26,1992,1,1,1,1,1,1,0,0901110000,0901,090111,09,2,53,56,9,3,2,07111,111,1,A2,A,0113,10,21,2,71000,70000,70000,112000
27,1992,1,1,1,1,1,1,0,4407009011,4407,440700,44,9,63,10,8,8,2,24501,220,4,D13,D,2010,16,21,2,254238,254238,254238,128042
28,1992,1,1,1,1,1,1,0,4407009012,4407,440700,44,9,63,10,8,8,2,24501,220,4,D13,D,2010,16,21,2,314691,314691,89220,143740
29,1992,1,1,1,1,1,1,0,2203000000,2203,220300,22,4,63,10,9,7,2,1123,122,4,D3,D,1553,13,21,2,59360,31609,31609,25228
30,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,9,3,2,2875,210,3,C4,C,1320,3,11,1,1707553,1570855,753013,794968
31,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,87,40,9,3,2,28911,210,3,C9,C,1320,8,11,1,129,121,58,7290
32,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,3,3,2,2875,210,3,C4,C,1320,3,11,1,84025,75623,33274,36678
33,1992,1,1,1,1,1,1,0,4202999000,4202,420299,42,8,87,40,5,9,2,83199,620,4,D10,D,1912,15,21,2,330,330,330,8963
34,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,6,3,2,2875,210,3,C4,C,1320,3,11,1,291380,262242,115386,127192
35,1992,1,1,1,1,1,1,0,3004201000,3004,300420,30,6,88,20,5,9,2,54219,630,4,D29,D,2423,34,21,2,5,5,5,385
36,1992,1,1,1,1,1,1,0,2811294000,2811,281129,28,6,105,10,9,3,2,52239,220,4,D24,D,2411,30,11,1,33560,32118,32118,18629
37,1992,1,1,1,1,1,1,0,2203000000,2203,220300,22,4,105,10,8,4,2,1123,122,4,D3,D,1553,13,21,2,152150,136320,136320,115100
38,1992,1,1,1,1,1,1,0,6104690000,6104,610469,61,11,211,10,5,9,2,84426,620,4,D11,D,1810,34,21,2,43,43,43,1356
39,1992,1,1,1,1,1,1,0,6109100000,6109,610910,61,11,211,10,5,9,2,8454,630,4,D9,D,1730,34,21,2,62,62,62,3941
40,1992,1,1,1,1,1,1,0,0505900000,0505,050590,05,1,211,10,9,3,2,29195,210,1,A11,A,0122,34,21,2,500,500,500,94
41,1992,1,1,1,1,1,1,0,2603000000,2603,260300,26,5,211,10,9,3,2,2831,210,3,C13,C,1320,30,11,1,25000,23500,1570,3496
42,1992,1,1,1,1,1,1,0,4101300000,4101,410130,41,8,211,10,9,3,2,21112,210,4,D10,D,1511,15,21,2,23248,23248,23248,37627
43,1992,1,1,1,1,1,1,0,4102100000,4102,410210,41,8,211,10,9,3,2,2116,210,4,D10,D,1511,15,21,2,7938,7895,7895,2629
44,1992,1,1,1,1,1,1,0,4102210000,4102,410221,41,8,211,10,9,3,2,2117,210,4,D10,D,1511,15,21,2,500,500,500,971
45,1992,1,1,1,1,1,1,0,4103100000,4103,410310,41,8,211,10,9,3,2,2114,210,4,D10,D,1511,15,21,2,3960,3866,3866,1288
46,1992,1,1,1,1,1,1,0,4103900000,4103,410390,41,8,211,10,9,3,2,21199,210,1,A8,A,0122,15,21,2,8,8,8,50
47,1992,1,1,1,1,1,1,0,9608101000,9608,960810,96,20,211,10,9,14,2,89521,630,4,D29,D,3699,34,21,2,45000,45000,45000,69218
48,1992,1,1,1,1,1,1,0,4202991000,4202,420299,42,8,239,10,5,9,2,83199,620,4,D10,D,1912,15,21,2,6,6,6,90
49,1992,1,1,1,1,1,1,0,6110100000,6110,611010,61,11,239,10,5,9,2,8453,620,4,D9,D,1730,34,21,2,144,144,144,2110
50,1992,1,1,1,1,1,1,0,8001200000,8001,800120,80,15,239,10,9,3,2,68712,220,4,D17,D,2720,2,11,1,3250,3000,3000,16037
51,1992,1,1,1,1,1,1,0,0901110000,0901,090111,09,2,245,40,9,3,2,07111,111,1,A2,A,0113,10,21,2,19584,19500,19500,29640
52,1992,1,1,1,1,1,1,0,1008901000,1008,100890,10,2,249,32,9,3,2,04599,111,1,A6,A,0111,34,21,2,18794,18000,18000,19818
53,1992,1,1,1,1,1,1,0,2617100000,2617,261710,26,5,249,32,9,3,2,28799,210,3,C6,C,1320,5,11,1,20153,19347,12740,18457
54,1992,1,1,1,1,1,1,0,4407009012,4407,440700,44,9,249,32,9,3,2,24501,220,4,D13,D,2010,16,21,2,1002245,1002245,1002245,927306
55,1992,1,1,1,1,1,1,0,0301100000,0301,030110,03,1,249,32,5,9,2,03411,112,1,B1,B,0500,34,21,2,155,155,155,135
